code	state	2020-01-22	2020-01-23	2020-01-24	2020-01-25	2020-01-26	2020-01-27	2020-01-28	2020-01-29	2020-01-30	2020-01-31	2020-02-01	2020-02-02	2020-02-03	2020-02-04	2020-02-05	2020-02-06	2020-02-07	2020-02-08	2020-02-09	2020-02-10	2020-02-11	2020-02-12	2020-02-13	2020-02-14	2020-02-15	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29	2020-03-30	2020-03-31	2020-04-01	2020-04-02	2020-04-03	2020-04-04	2020-04-05	2020-04-06	2020-04-07	2020-04-08	2020-04-09	2020-04-10	2020-04-11	2020-04-12	2020-04-13	2020-04-14	2020-04-15	2020-04-16	2020-04-17	2020-04-18	2020-04-19	2020-04-20	2020-04-21	2020-04-22	2020-04-23	2020-04-24	2020-04-25	2020-04-26	2020-04-27	2020-04-28	2020-04-29	2020-04-30	2020-05-01	2020-05-02	2020-05-03	2020-05-04	2020-05-05	2020-05-06	2020-05-07	2020-05-08	2020-05-09	2020-05-10	2020-05-11	2020-05-12	2020-05-13	2020-05-14	2020-05-15	2020-05-16	2020-05-17	2020-05-18	2020-05-19	2020-05-20	2020-05-21	2020-05-22	2020-05-23	2020-05-24	2020-05-25	2020-05-26	2020-05-27	2020-05-28	2020-05-29	2020-05-30	2020-05-31	2020-06-01	2020-06-02	2020-06-03	2020-06-04	2020-06-05	2020-06-06	2020-06-07	2020-06-08	2020-06-09	2020-06-10	2020-06-11	2020-06-12	2020-06-13	2020-06-14	2020-06-15	2020-06-16	2020-06-17	2020-06-18	2020-06-19	2020-06-20	2020-06-21	2020-06-22	2020-06-23	2020-06-24	2020-06-25	2020-06-26	2020-06-27	2020-06-28	2020-06-29	2020-06-30	2020-07-01	2020-07-02	2020-07-03	2020-07-04	2020-07-05	2020-07-06	2020-07-07	2020-07-08	2020-07-09	2020-07-10	2020-07-11	2020-07-12	2020-07-13	2020-07-14	2020-07-15	2020-07-16	2020-07-17	2020-07-18	2020-07-19	2020-07-20	2020-07-21	2020-07-22	2020-07-23	2020-07-24	2020-07-25	2020-07-26	2020-07-27	2020-07-28	2020-07-29	2020-07-30	2020-07-31	2020-08-01	2020-08-02	2020-08-03	2020-08-04	2020-08-05	2020-08-06	2020-08-07	2020-08-08	2020-08-09	2020-08-10	2020-08-11	2020-08-12	2020-08-13	2020-08-14	2020-08-15	2020-08-16	2020-08-17	2020-08-18	2020-08-19	2020-08-20	2020-08-21	2020-08-22	2020-08-23	2020-08-24	2020-08-25	2020-08-26	2020-08-27	2020-08-28	2020-08-29	2020-08-30	2020-08-31	2020-09-01	2020-09-02	2020-09-03	2020-09-04	2020-09-05	2020-09-06	2020-09-07	2020-09-08	2020-09-09	2020-09-10	2020-09-11	2020-09-12	2020-09-13	2020-09-14	2020-09-15	2020-09-16	2020-09-17	2020-09-18	2020-09-19	2020-09-20	2020-09-21	2020-09-22	2020-09-23	2020-09-24	2020-09-25	2020-09-26	2020-09-27	2020-09-28	2020-09-29	2020-09-30	2020-10-01	2020-10-02	2020-10-03	2020-10-04	2020-10-05	2020-10-06	2020-10-07	2020-10-08	2020-10-09	2020-10-10	2020-10-11	2020-10-12	2020-10-13	2020-10-14	2020-10-15	2020-10-16	2020-10-17	2020-10-18	2020-10-19
AK	Alaska	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	3	3	2	5	12	4	7	15	2	27	17	12	5	13	11	14	14	14	5	23	13	9	11	11	15	5	8	8	7	9	5	5	2	8	6	2	2	0	1	5	6	4	0	9	1	3	2	1	1	2	3	1	1	0	4	0	0	5	0	0	0	12	1	0	2	4	0	1	2	1	13	5	4	26	7	20	18	8	11	12	8	19	10	20	17	15	29	7	3	12	20	12	13	21	11	6	2	29	24	20	18	29	21	36	38	39	46	47	27	28	18	42	46	55	62	94	60	40	52	62	41	62	79	75	92	89	62	56	90	186	98	107	68	81	111	146	144	61	53	54	35	53	77	98	63	45	60	84	110	83	103	50	62	67	82	68	89	64	69	33	52	79	118	90	44	37	34	65	102	120	93	83	33	35	63	121	92	103	61	75	41	48	105	107	85	93	70	44	68	128	122	113	114	116	125	102	124	125	144	188	208	139	126	127	177	249	255	191	151	142	153	226	211	220	202
AL	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	4	18	10	12	27	28	25	26	39	46	139	136	70	107	131	74	88	73	173	262	119	151	187	217	159	375	244	270	346	171	219	122	270	226	141	176	191	238	276	239	194	0	395	118	211	162	176	206	317	277	224	325	254	355	339	283	221	275	300	236	401	272	301	97	315	290	676	236	382	447	361	508	664	382	498	501	328	593	678	136	85	221	315	656	457	425	497	567	856	865	891	1014	657	640	400	894	796	547	472	433	643	967	1142	977	900	358	1734	870	917	1149	1754	997	1091	925	907	1177	2212	1334	1439	1640	1958	1710	1812	2021	2003	2143	1777	1880	1467	1455	2399	1793	2125	1164	1821	1251	1416	1980	1961	1626	2095	1217	1041	952	1938	1709	1872	1161	1686	831	935	771	752	1271	853	571	1357	1117	971	1183	900	528	1650	532	2012	1769	1162	1704	1346	823	1558	623	1046	1108	1410	511	659	633	811	1148	1138	943	1109	704	701	927	670	1106	1301	798	818	804	569	1053	2452	933	730	662	571	1147	1043	954	1682	789	544	764	941	557	1490	1061	816	734	1117	784	1185	1212	1288	964	859
AR	Arkansas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	0	0	1	58	38	22	43	27	27	61	55	46	28	17	47	50	61	59	61	39	94	38	71	54	119	52	57	52	130	88	71	51	75	49	37	192	17	286	323	211	101	90	68	58	66	88	56	35	65	54	34	86	92	44	0	265	31	121	72	130	97	115	181	54	110	80	455	154	163	147	107	151	97	261	239	236	240	190	375	249	358	226	450	325	314	340	288	448	731	548	406	416	274	415	322	703	511	419	522	595	697	687	678	570	508	439	520	420	878	547	587	605	439	259	734	806	751	1061	503	572	873	485	817	648	771	695	699	728	591	1013	990	732	642	824	734	787	791	752	662	637	787	784	912	735	1011	772	572	645	383	685	670	626	0	673	412	410	729	549	887	547	375	320	480	649	722	838	795	478	368	273	615	969	1094	515	687	350	294	385	398	1107	1799	509	408	870	722	992	871	1078	563	641	617	982	1086	897	809	487	807	706	942	1124	958	746	488	417	641	809	1265	1167	908	613	654	680	1079	1278	1015	883	644	531
AS	American Samoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AZ	Arizona	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	3	0	0	3	0	6	2	7	18	23	36	48	83	91	75	107	157	108	146	238	132	124	183	173	250	250	191	115	151	292	94	281	149	163	104	155	273	274	213	209	135	188	217	299	273	241	248	191	230	254	446	314	395	276	284	381	402	238	581	434	159	264	353	480	458	495	497	279	263	368	330	442	276	429	324	198	289	454	559	595	786	678	193	1135	1092	530	1553	1012	1538	689	618	1556	1415	1772	1621	1046	1138	2341	1752	2508	3465	3217	2464	2008	3779	1812	3091	3378	3465	3796	625	4683	4877	3340	4427	2695	3536	3352	3639	3520	4057	4221	3038	2537	1357	4273	3257	3259	3910	2742	2359	1559	3500	1926	2335	3357	3740	1973	1813	2107	2339	2525	3212	2992	1465	1030	1008	1698	1453	1397	1054	816	600	1214	706	1351	927	933	883	468	915	637	723	619	996	208	311	859	186	680	519	629	374	174	507	519	1092	728	836	250	197	81	496	461	521	605	384	213	484	698	1753	1282	609	470	230	595	438	568	515	459	411	273	674	323	705	551	636	355	316	864	604	863	683	894	597	475	684	901	1113	738	973	690	748
CA	California	0	0	0	0	2	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	9	4	10	16	8	22	14	6	43	34	43	60	91	1	184	143	131	178	234	169	239	462	429	467	901	769	431	753	1292	1078	1177	1380	1226	821	2197	990	1327	1546	813	1371	636	1083	1134	1455	1297	991	1480	1354	920	2255	1794	1872	2209	1794	1013	1191	1413	1192	2583	1383	1896	1321	1556	981	2572	2160	1532	1652	2772	1028	1729	1651	1818	2073	1822	2032	1441	1352	2246	2254	2038	2225	2283	1505	2401	3022	1579	2742	2825	3257	2056	2782	2482	2159	2820	3589	2823	2051	3159	2865	3034	3724	3220	3375	2315	3377	3235	3837	4335	3729	4381	3414	6108	6712	4547	5088	5732	3848	4795	8159	7772	7263	7869	3964	2381	11786	6354	12977	8548	9924	8401	7876	5782	8814	12854	8674	9821	8553	7486	6161	10964	11435	11981	9487	9412	6267	5836	5833	12641	14151	8021	7622	6057	5562	4676	9834	3921	10733	5475	7574	5358	14485	4715	12430	6608	15117	4893	5879	5542	8725	9134	4993	6633	5535	4845	6281	5471	5972	4817	5564	4653	3913	6524	3142	5664	4737	4644	4652	3542	2109	3379	2946	3671	3944	4028	2795	3406	3070	3117	3716	4454	3822	2855	3928	2969	3371	3080	4144	3791	2439	2821	2943	3461	3090	3808	3508	3192	2794	2695	3726	3342	3806	3334	2780	2723	3397	3894	2944	3105	2361	2078	3953
CO	Colorado	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	4	5	17	15	29	25	33	25	22	33	62	86	111	120	128	189	175	343	308	323	247	319	339	376	386	445	392	385	233	246	226	547	311	380	414	389	254	330	395	372	393	290	382	361	418	387	978	712	473	438	437	442	526	509	432	410	283	449	465	538	457	548	328	176	278	318	363	394	401	305	264	280	315	394	296	477	210	82	296	202	353	491	486	280	199	211	272	300	255	233	153	182	164	151	148	175	195	113	169	143	229	230	286	161	191	165	188	262	324	317	226	284	204	204	314	323	260	254	199	192	407	452	408	666	400	322	323	450	469	571	618	444	354	424	493	639	615	667	809	547	229	749	482	408	605	458	460	241	426	594	448	457	431	336	378	402	315	463	319	300	338	194	261	270	329	0	653	259	198	459	193	350	430	267	183	201	351	244	268	0	699	285	213	187	240	264	307	414	417	374	412	587	459	605	606	501	542	654	616	547	709	584	569	411	535	511	682	679	657	521	461	654	730	862	834	1023	819	576	1048	692	1142	1312	1139	933	1072
CT	Connecticut	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	6	12	1	17	27	28	63	35	0	133	88	203	257	137	279	233	469	578	557	429	267	1090	362	399	1231	875	0	2003	754	972	525	1346	608	766	1129	925	741	412	1853	545	2109	631	836	647	686	728	315	455	933	1064	523	0	686	648	374	789	627	573	570	211	568	522	609	621	618	716	697	314	587	191	432	382	446	405	430	0	271	203	260	179	539	239	112	148	221	358	150	124	87	168	114	228	305	94	147	114	80	11	117	158	40	27	117	14	81	65	147	97	59	152	58	74	71	0	0	259	57	75	101	78	0	0	223	20	106	114	143	0	0	162	41	127	9	544	0	0	207	94	463	130	140	0	0	252	48	115	20	75	0	0	247	117	22	76	115	0	0	370	0	59	118	87	0	0	492	29	180	130	145	0	0	384	127	102	101	156	0	0	0	417	89	222	233	0	0	569	136	135	220	141	0	0	497	136	155	157	115	0	0	560	182	221	192	555	0	0	823	121	123	384	290	0	0	1339	320	164	167	802	0	0	1191
DC	District of Columbia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	9	9	31	27	4	18	21	46	44	40	33	38	59	94	91	67	104	145	100	95	114	229	83	137	118	97	80	103	139	153	126	190	127	134	171	108	155	167	171	142	51	102	112	217	335	139	219	154	152	139	193	245	203	170	117	96	99	152	135	171	81	147	164	117	237	105	73	144	115	109	72	86	46	179	84	56	29	130	104	79	70	63	57	85	63	52	65	55	58	32	19	29	56	49	32	36	38	36	34	31	26	31	32	44	35	38	25	45	12	35	33	54	73	37	64	58	46	59	40	80	50	39	79	67	78	88	102	42	78	68	63	78	87	54	58	69	79	69	39	85	45	75	71	64	100	54	89	63	65	94	41	61	53	52	29	55	60	65	56	49	45	0	110	57	74	34	33	57	28	58	51	52	41	36	47	25	25	81	0	99	30	65	56	47	62	50	53	23	43	29	56	57	52	35	14	36	26	32	65	50	46	28	105	0	113	78	75	66	38	46	64	34	89	79	36	25
DE	Delaware	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	0	2	8	3	11	9	6	11	12	36	15	11	33	51	18	32	55	49	25	57	143	80	110	145	188	93	117	153	146	133	168	88	56	247	221	0	207	186	269	108	134	134	458	128	413	80	79	184	120	170	80	83	407	161	172	166	0	288	176	211	271	150	174	123	199	168	157	192	143	0	280	156	101	30	75	65	186	76	107	80	27	34	27	72	97	30	48	36	50	67	56	35	76	63	41	55	112	70	94	45	27	42	91	37	74	135	150	98	36	221	192	73	132	165	121	48	69	121	91	61	75	90	81	64	223	92	90	105	122	46	132	278	0	115	116	70	126	87	99	89	72	106	82	159	69	80	57	73	59	65	66	202	373	56	55	85	57	50	75	52	58	67	47	20	24	0	107	266	0	86	106	14	104	99	140	151	206	59	0	158	93	167	123	88	200	97	84	48	83	117	101	94	69	117	138	71	104	129	142	82	174	150	188	118	120	103	84	132	145	171	132	159	105	71	95	164	218	151	103
